"R0000100","R0536300","R0536401","R0536402","R1235800","R1318100","R1318200","R1482600","R3961800","R3961900","R3989100","R3989200","R5473600","R5473700","R7237300","R7237400","R9829600","S0920000","S0920100","S0920200","S0920300","S0920400","S0920500","S0920600","S0920700","S1552600","S1552700","T3162500","T3162501","T3162502","T3162503","T3162504","T3162505","T3162506","T3162507","T3162508","T3162509","T3162600","T3162601","T3162602","T3162603","T3162700","T3162701","T3162702","T3162703","T6216400","T6216401","T6216402","T6216403","T6216500","T6216501","T6216502","T6216503","T9039400","T9039500","T9039600","T9039700","T9039800","T9039900","T9040000","T9040100","U1028900","U1029000","U1029100","U1029200","U1029300","U1029400","U1029500","U1029600","U2969100","U2969200","U2969300","U2969400","U2969500","U2969600","U2969700","U2969800","U4954600","Z9033700","Z9033800","Z9033900","Z9034000","Z9034100","Z9034200"
2749,2,5,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,38287,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,3,5,7,7,1,6,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,6,7,2,3,4,4,4,1,3,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,-4,-4
2750,2,11,1981,1,30,92,4,-4,-4,-4,-4,-4,-4,-4,-4,54296,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,4,7,2,2,7,7,1,6,6,1,1,7,6,5,2,5,5,2,2,7,6,5,2,5,6,3,2,4,1,4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,4,3,4,-4,-4
2751,2,12,1984,1,47,99,4,-4,-4,0,55,14,84,81,113,75291,2,5,2,4,1,3,4,5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,7,5,7,2,4,6,-5,-5,-5,-5,-5,-5,-5,-5,3,4,1,1,3,3,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-5,4,6,5,6,-4,-4
2752,1,7,1981,1,18,86,4,-4,-4,-4,-4,-4,-4,-4,-4,28709,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,5,7,2,6,5,5,2,5,2,2,2,5,4,2,6,5,1,1,5,5,4,7,7,6,2,3,3,3,1,4,3,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4
2753,1,11,1982,1,19,87,4,-4,-4,-4,-4,-4,-4,-4,-4,48465,1,3,4,5,5,1,1,5,-4,-4,5,2,6,2,6,3,5,2,6,5,1,1,7,7,1,1,7,6,2,1,7,7,5,1,7,7,3,2,3,1,3,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2754,2,1,1982,1,58,103,4,-4,-4,-4,-4,-4,-4,-4,-4,83923,2,2,1,4,5,2,2,5,-4,-4,3,2,6,3,7,6,5,2,6,2,2,2,6,6,6,3,5,5,2,2,7,6,2,1,6,7,3,4,2,1,3,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,4,4,4,-4,-4
2755,1,5,1984,1,66,106,4,91,120,61,104,86,116,68,107,78416,4,3,1,4,5,2,3,5,-4,-4,6,4,5,3,7,2,6,5,6,3,6,4,6,4,6,4,4,2,2,4,5,7,6,6,3,2,2,3,1,1,2,3,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,4,5,3,5,-4,-4
2756,1,8,1983,1,75,110,4,-4,-4,-4,-4,-4,-4,-5,-5,92833,4,4,2,4,4,3,3,5,-4,-4,6,5,7,2,7,2,6,3,7,2,1,1,7,6,6,6,4,3,1,1,7,5,6,6,2,2,4,3,4,1,4,5,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,4,5,4,5,6
2757,2,4,1984,1,97,128,4,91,120,88,118,98,131,90,119,94897,2,4,2,5,4,2,3,4,-4,-4,7,1,5,2,6,1,6,1,6,2,1,1,7,6,7,2,6,4,2,1,7,6,5,2,5,3,3,2,3,1,4,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,5,6,4,-4,-4
2758,1,8,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,86272,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,5,7,2,6,2,6,2,6,3,1,1,7,7,5,2,5,6,1,1,7,7,2,1,5,7,3,1,3,1,4,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,2,5,3,-4,-4
2759,1,11,1982,1,32,93,4,-4,-4,-4,-4,-4,-4,-4,-4,19597,2,4,1,3,4,2,2,2,-4,-4,4,5,5,1,5,5,5,1,5,1,1,5,5,5,7,1,7,5,1,1,7,7,5,2,7,6,5,4,4,1,4,4,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
2760,2,4,1981,1,4,74,4,-4,-4,-4,-4,-4,-4,-4,-4,11202,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,5,6,4,6,5,6,5,6,5,2,1,3,5,7,1,6,5,2,2,4,5,2,1,4,6,4,4,5,2,3,2,3,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
2761,1,1,1982,1,70,108,4,-4,-4,-4,-4,-4,-4,-4,-4,61233,2,4,5,3,5,4,4,5,-4,-4,7,7,6,4,7,1,7,1,7,1,1,1,7,6,6,6,4,1,1,3,7,7,7,7,1,1,4,1,3,1,4,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2762,1,3,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,68397,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,6,7,4,4,5,6,3,5,3,1,1,6,6,2,5,5,6,1,1,7,6,2,3,5,5,3,3,3,1,4,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,4,3,-4,-4
2763,2,8,1984,1,23,89,4,19,87,30,92,16,85,16,85,42996,3,3,2,2,2,4,5,5,13,83,5,3,6,5,6,5,7,4,6,2,1,4,7,6,2,1,6,7,1,1,7,7,1,1,7,7,5,4,5,1,5,5,1,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
2764,2,10,1984,1,77,111,1,70,108,66,106,90,119,84,115,88455,4,2,1,3,2,1,1,5,97,129,6,5,6,4,7,3,6,4,7,5,5,3,6,5,5,1,6,6,2,2,6,5,3,1,6,6,3,2,4,1,2,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,4,6,4,6,-3,5
2765,1,6,1982,1,30,92,4,-4,-4,-4,-4,-5,-5,-5,-5,67580,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,2,3,1,3,4,1,3,1,4,7,3,7,-4,-4
2766,1,4,1983,1,32,93,4,-4,-4,-4,-4,-4,-4,-4,-4,11802,4,4,2,4,3,2,3,4,-4,-4,4,4,5,6,5,5,6,6,5,2,1,1,7,7,5,6,5,5,1,1,5,5,5,7,6,4,3,3,4,1,3,4,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
2767,2,7,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,41538,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,7,5,7,2,5,1,5,1,1,1,7,7,7,1,5,7,1,1,6,6,4,5,5,5,5,3,5,1,5,5,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
2768,2,10,1982,1,93,122,4,-4,-4,-4,-4,-4,-4,-4,-4,91993,3,4,1,5,4,1,2,5,-4,-4,6,4,5,6,7,3,7,5,5,2,6,6,5,5,3,1,5,6,1,2,7,6,2,2,3,3,2,5,3,1,3,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,4,5,4,5,4
2769,2,1,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,45173,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,3,4,3,-4,-4
2770,2,12,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,70408,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,3,7,3,4,3,6,2,5,2,1,1,7,6,2,2,4,7,1,1,7,6,2,1,4,7,4,2,5,1,4,4,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,2,3,2,-4,-4
2771,2,4,1980,1,-4,-4,4,-5,-5,-4,-4,-5,-5,-5,-5,47508,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,3,2,-4,-4
2772,2,11,1982,1,66,106,4,-4,-4,-4,-4,-5,-5,-5,-5,81475,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4
2773,1,8,1981,1,-4,-4,4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,2,5,5,7,2,5,2,5,3,1,1,6,5,7,7,5,3,1,2,6,4,7,6,6,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,5,4,5,-4,-4
2774,1,3,1983,1,50,100,4,-5,-5,-5,-5,-4,-4,-4,-4,-5,3,4,2,3,2,4,3,5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,7,4,4,5,3,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,5,4,5,-4,-4
2775,1,8,1982,1,16,85,4,-5,-5,-4,-4,-4,-4,-4,-4,85580,1,3,1,2,5,4,1,5,-4,-4,6,4,5,2,5,5,7,3,5,1,3,5,5,3,5,3,6,6,2,2,7,5,3,1,4,7,4,3,4,1,2,3,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,5,5,5,-4,-4
2776,1,5,1984,1,39,96,4,-5,-5,61,104,45,98,61,104,68704,1,3,2,4,5,1,1,1,99,138,5,3,3,4,6,6,2,1,6,4,1,1,6,6,3,2,7,6,1,2,6,6,5,1,6,3,4,2,4,2,5,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,6,4,6,-4,-4
2777,2,5,1981,1,90,119,4,-4,-4,-4,-4,-4,-4,-4,-4,75553,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,1,6,1,6,2,6,1,6,2,1,1,7,6,2,1,6,4,1,2,7,5,2,1,6,6,3,2,4,1,4,4,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,4,3,-4,-4
2778,1,1,1983,1,18,86,4,-4,-4,-4,-4,-4,-4,-4,-4,97072,4,4,1,5,5,4,2,5,-4,-4,3,1,6,2,6,7,2,1,7,3,1,4,6,6,2,1,7,7,2,2,7,7,5,2,6,6,3,2,3,1,4,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,4,5,4,-4,-4
2779,1,8,1981,1,94,123,4,-4,-4,-4,-4,-4,-4,-4,-4,93516,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,2,5,2,5,4,6,6,7,2,1,1,6,6,5,3,5,5,1,3,6,6,5,5,7,7,3,2,2,1,3,4,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,1,4,3,5,3,-4,-4
2780,2,2,1984,1,58,103,4,-4,-4,73,109,86,116,79,112,-4,2,4,1,5,4,1,2,4,-4,-4,3,1,7,4,4,1,5,4,5,3,1,3,5,4,4,2,6,4,3,4,5,5,5,1,6,6,3,5,5,1,4,1,1,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,5,3,5,-4,-4
2781,2,3,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,48893,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,1,7,3,5,5,4,1,7,5,1,1,7,7,1,1,7,7,1,1,7,7,3,1,7,3,3,1,4,1,4,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,2,2,4,2,-4,-4
2782,2,5,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,87405,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,6,2,6,5,6,2,6,3,2,3,6,5,4,1,2,5,1,3,6,5,4,2,5,6,3,1,5,1,2,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,4,2
2783,2,6,1980,1,-4,-4,4,-4,-4,-4,-4,-5,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,5,5,6,7,6,1,2,2,1,4,6,5,7,4,2,4,2,1,6,5,6,2,6,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,2,2,2,3,1,1,1,4,2,4,2,-4,-4
2784,2,4,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,38702,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,4,6,5,5,5,6,5,5,5,1,1,6,6,6,1,5,4,1,1,7,-2,5,1,5,4,1,2,2,1,3,3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,4,2,4,2,-4,-4
2785,2,1,1983,1,23,89,4,-4,-4,-4,-4,-4,-4,-4,-4,36595,4,3,2,3,2,4,4,1,-4,-4,5,5,6,6,5,5,6,5,6,5,1,2,6,5,5,6,5,5,1,2,6,5,5,5,5,5,3,3,3,2,3,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2786,1,9,1983,1,19,87,4,-4,-4,-4,-4,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,6,6,4,5,6,4,4,6,4,4,5,6,5,7,7,4,5,1,1,7,6,4,6,4,4,2,5,5,1,5,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2787,2,2,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,97208,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,3,6,2,6,1,7,6,6,1,2,1,7,7,7,2,4,6,5,2,6,6,7,3,2,6,3,3,2,1,3,2,4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,2,5,2,-4,-4
2788,1,7,1983,1,63,105,4,-4,-4,-4,-4,-4,-4,-4,-4,86885,5,4,2,4,3,3,5,4,-4,-4,5,4,5,5,5,3,6,5,1,2,2,1,6,6,6,3,5,4,1,1,6,6,5,3,5,6,3,2,4,1,1,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,4,3,4,-4,-4
2789,1,4,1982,1,53,101,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,5,1,4,5,1,2,4,-4,-4,5,2,6,2,5,6,5,2,7,1,1,1,7,6,4,2,5,4,1,2,7,6,3,2,4,4,-5,-5,-5,-5,-5,-5,-5,-5,3,1,1,2,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,1,3,4,4,4,-4,-4
2790,1,1,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,6,7,2,5,7,3,1,6,7,1,1,7,7,5,1,7,6,1,3,7,6,3,2,7,4,5,1,5,1,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2791,1,10,1982,1,68,107,4,-4,-4,-4,-4,-4,-4,-4,-4,85451,1,4,1,5,5,3,4,5,-4,-4,6,4,7,3,5,2,2,4,5,3,1,1,7,7,5,2,5,3,2,2,6,7,5,1,6,3,3,1,5,1,4,4,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,4,4,3,-4,-4
2792,2,5,1984,1,81,113,4,91,120,90,119,100,140,100,139,96142,2,5,1,4,4,3,4,4,-4,-4,5,4,5,2,6,3,6,2,4,3,3,3,6,6,7,1,5,6,2,2,6,5,6,1,5,6,3,4,3,2,3,2,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,4,5,4,5,4
2793,2,12,1983,1,53,101,4,-4,-4,-4,-4,-4,-4,-4,-4,57829,3,4,2,3,4,3,5,4,-4,-4,5,5,5,6,3,3,6,5,4,5,2,2,6,5,5,6,5,4,-5,-5,-5,-5,-5,-5,-5,-5,3,5,5,1,3,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,4,3,4,-4,-4
2794,1,5,1981,1,79,112,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,6,7,3,6,1,6,1,6,1,1,1,7,7,5,3,5,4,1,2,6,6,5,3,6,6,5,5,5,1,5,3,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2795,1,5,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,5,6,5,7,3,7,5,7,5,1,2,6,7,5,2,6,7,1,2,7,6,2,3,6,6,5,2,3,1,4,3,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2796,2,4,1984,1,58,103,4,-4,-4,45,98,75,110,79,112,-4,4,5,1,4,4,1,1,5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,5,3,5,-4,-4
2797,2,12,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,80893,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,3,5,3,-4,-4
2798,1,10,1983,1,45,98,4,-4,-4,-4,-4,-4,-4,-4,-4,21624,2,5,2,4,3,2,3,5,-4,-4,5,4,6,3,7,7,7,5,5,1,1,1,6,5,3,2,5,4,1,1,6,6,6,7,5,2,3,3,3,1,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,-4,-4
2799,1,8,1980,1,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,79651,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,5,4,6,7,2,4,5,2,2,3,5,3,4,4,7,5,2,4,1,1,4,4,7,5,4,2,1,1,5,2,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,2,-3,2,-4,-4
2800,1,11,1981,1,23,89,1,-4,-4,-4,-4,-4,-4,-4,-4,23132,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,1,6,4,7,1,6,1,5,1,4,4,7,4,1,6,7,5,1,1,7,5,1,1,5,3,4,5,5,1,4,1,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,-4,-4
2801,2,3,1983,1,66,106,4,-4,-4,-4,-4,-4,-4,-4,-4,87998,2,5,1,4,4,2,2,4,-4,-4,5,2,6,2,5,5,6,3,5,3,2,2,6,6,3,5,3,3,1,2,6,6,5,5,6,5,3,3,4,2,4,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,4,5,4,-4,-4
2802,2,12,1982,1,39,96,4,-4,-4,-4,-4,-4,-4,-4,-4,50436,2,4,1,4,4,2,2,5,-4,-4,6,4,7,3,7,5,6,2,5,5,2,3,7,7,4,3,5,4,2,4,6,6,4,5,5,3,4,4,3,1,5,4,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,3,3,4,4
2803,2,12,1980,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,48056,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,2,4,2,-4,-4
2804,2,6,1982,1,79,112,4,-4,-4,-4,-4,-4,-4,-4,-4,43479,2,3,1,4,3,2,4,4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,4,-3,4,-3,4
2805,2,10,1982,1,45,98,4,-4,-4,-4,-4,-4,-4,-4,-4,60566,4,5,1,4,5,1,4,5,-4,-4,4,6,6,7,2,3,7,3,2,4,4,3,3,6,7,5,2,6,3,1,4,3,7,7,1,2,2,4,1,4,1,1,4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2806,2,1,1982,1,66,106,4,-4,-4,-4,-4,-4,-4,-4,-4,85134,2,4,1,3,3,2,2,5,-4,-4,7,1,6,1,6,1,7,5,7,1,1,1,7,7,5,5,3,4,1,1,7,7,6,5,5,6,3,1,4,1,4,4,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,4,4,4,-4,-4
2807,1,1,1984,1,79,112,4,70,108,66,106,75,110,68,107,67574,4,3,2,3,5,1,1,5,-4,-4,6,2,7,5,6,6,6,2,6,2,1,2,7,7,2,7,4,6,7,2,6,6,7,7,6,5,3,2,1,1,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-3,6,-3,6,-4,-4
2808,1,5,1983,1,68,107,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,2,4,3,4,1,1,-4,-4,3,4,6,2,6,2,4,1,6,3,1,1,7,4,3,4,4,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4
2809,2,5,1981,1,18,86,1,-4,-4,-4,-4,-4,-4,-4,-4,20392,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,6,4,7,3,6,7,4,3,5,3,1,1,6,5,7,5,5,4,1,3,7,7,7,5,4,4,5,2,5,1,5,5,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4
2810,1,3,1983,1,25,90,1,-4,-4,-4,-4,-4,-4,-4,-4,19638,1,2,1,5,3,4,5,5,-4,-4,3,5,7,4,4,5,5,2,5,1,2,2,7,6,5,4,4,3,1,1,7,7,5,5,3,1,5,1,5,1,5,3,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,-3,6,-3,6,-4,-4
2811,2,10,1984,1,37,95,1,19,87,0,55,18,86,-5,-5,-4,3,3,1,4,3,2,2,5,-4,-4,6,4,7,3,7,5,6,4,6,2,1,3,6,7,1,5,5,5,1,1,7,7,2,3,6,3,3,2,4,1,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,-4
2812,2,1,1981,1,-4,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,66849,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3,6,2,5,4,7,5,6,3,2,4,6,6,5,2,5,6,2,2,5,4,4,1,5,5,4,3,4,2,4,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,2,4,2,4,2
2813,1,8,1982,1,63,105,1,-4,-4,-4,-4,-4,-4,-4,-4,66652,4,5,1,3,3,1,1,5,-4,-4,4,5,6,2,7,5,5,5,6,2,1,1,5,4,6,6,6,2,1,1,6,5,4,3,4,4,5,1,5,2,4,5,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5,4,5,4,-4,-4
