sub,run,gain,loss,RT,participant_response
002,02,19,6,1.353,strongly_accept
002,02,11,13,1.04,strongly_reject
002,02,13,11,1.04,weakly_accept
002,02,20,19,0.833,strongly_accept
002,02,6,15,1.351,strongly_reject
002,02,14,15,1.872,weakly_accept
002,02,13,14,1.562,weakly_reject
002,02,8,11,1.354,strongly_reject
002,02,9,19,1.04,strongly_reject
002,02,8,9,1.145,strongly_reject
002,02,19,12,1.352,strongly_accept
002,02,18,6,0.937,strongly_accept
002,02,6,9,1.146,strongly_reject
002,02,11,17,1.248,strongly_reject
002,02,8,5,1.145,strongly_reject
002,02,14,10,1.77,weakly_accept
002,02,13,16,1.874,weakly_reject
002,03,12,19,1.764,strongly_reject
002,03,7,13,1.248,weakly_reject
002,03,13,19,1.353,strongly_reject
002,03,19,14,1.145,strongly_accept
002,03,15,5,1.457,weakly_accept
002,03,12,13,1.872,weakly_reject
002,03,10,12,1.456,weakly_reject
002,03,8,15,1.559,weakly_reject
002,03,17,7,1.767,strongly_accept
002,03,13,6,1.868,weakly_accept
002,03,17,10,1.248,strongly_accept
002,03,6,5,1.25,strongly_reject
002,03,7,18,1.039,strongly_reject
002,03,10,14,1.453,strongly_reject
002,03,16,6,1.663,weakly_accept
002,03,16,5,1.352,weakly_accept
002,03,12,17,1.352,weakly_reject
002,03,17,9,1.144,strongly_accept
002,03,9,8,1.56,weakly_accept
002,03,9,7,1.457,weakly_reject
002,03,17,18,1.663,weakly_accept
002,03,14,14,1.659,weakly_accept
002,03,8,20,1.35,strongly_reject
002,03,13,17,1.976,weakly_accept
002,03,6,12,1.145,strongly_reject
002,03,13,20,1.041,strongly_reject
002,03,11,9,1.455,weakly_accept
002,03,20,17,1.038,strongly_accept
002,03,12,15,2.286,weakly_accept
002,03,9,15,1.241,strongly_reject
002,03,9,9,1.531,weakly_reject
002,03,20,7,0.831,strongly_accept
002,03,5,12,1.042,strongly_reject
002,03,20,16,1.328,strongly_accept
002,03,7,17,1.454,weakly_reject
002,03,13,10,1.354,weakly_accept
002,03,17,17,1.56,weakly_accept
002,03,19,11,1.146,strongly_accept
002,03,5,10,1.457,strongly_reject
002,03,20,11,0.936,strongly_accept
002,03,5,13,0.831,strongly_reject
002,03,15,10,2.18,strongly_accept
002,03,13,13,1.664,weakly_accept
002,03,13,12,1.352,weakly_accept
002,03,17,13,1.453,strongly_accept
002,03,15,14,1.352,weakly_accept
002,03,8,8,1.56,weakly_accept
002,03,5,6,1.143,weakly_reject
002,03,10,5,1.144,weakly_accept
002,03,20,6,1.027,strongly_accept
002,03,6,19,0.937,strongly_reject
002,03,15,20,1.143,strongly_reject
002,03,13,9,1.039,weakly_accept
002,03,8,10,0.934,strongly_reject
002,03,9,18,0.832,strongly_reject
002,03,9,5,1.456,weakly_accept
002,03,9,20,1.041,strongly_reject
002,03,14,13,1.351,weakly_accept
002,03,20,20,1.145,strongly_accept
002,03,5,16,0.938,strongly_reject
002,03,7,7,1.04,weakly_reject
002,03,19,5,0.935,strongly_accept
002,03,9,11,1.976,weakly_reject
002,03,20,13,1.352,strongly_accept
002,04,20,14,1.039,strongly_accept
002,04,10,20,0.937,strongly_reject
002,04,8,6,1.247,weakly_reject
002,04,5,9,0.936,weakly_reject
002,04,7,6,0.937,weakly_reject
002,04,15,17,1.142,weakly_accept
002,04,13,18,1.146,weakly_reject
002,04,17,14,1.453,weakly_accept
002,04,16,11,1.248,weakly_accept
002,04,11,8,1.455,weakly_accept
002,04,18,15,1.248,strongly_accept
002,04,12,14,1.352,weakly_reject
002,04,11,18,1.143,weakly_reject
002,04,20,5,0.83,strongly_accept
002,04,12,7,1.455,weakly_accept
002,04,6,11,1.04,weakly_reject
002,04,6,16,1.142,strongly_reject
002,04,9,10,1.041,strongly_reject
002,04,15,13,1.144,weakly_accept
002,04,10,11,1.143,weakly_reject
002,04,10,17,1.25,strongly_reject
002,04,7,20,0.831,strongly_reject
002,04,16,20,0.833,strongly_reject
002,04,18,19,1.664,weakly_accept
002,04,16,8,1.87,weakly_accept
002,04,8,16,0.937,strongly_reject
002,04,19,20,1.455,strongly_accept
002,04,18,10,1.143,strongly_accept
002,04,18,14,1.145,strongly_accept
002,04,15,12,1.768,weakly_accept
002,04,6,18,1.455,strongly_reject
002,04,7,19,0.832,strongly_reject
