stimulus,condition,rt1,resp1,rt2,resp2,rt3,resp3,rt4,resp4,rt5,resp5,enter_rt,enter_resp,unknown,subject,session
92739,2,736,9,317,2,303,7,327,3,262,9,333,-35,,1,1
94263,2,931,9,249,4,285,2,271,6,244,3,270,-35,,1,1
87145,0,1114,8,281,7,299,1,234,4,195,5,392,-35,,1,1
81818,0,699,8,258,1,267,8,230,1,254,8,261,-35,,1,1
45819,2,1199,4,213,5,280,8,217,1,222,9,310,-35,,1,1
71461,0,814,7,271,1,253,4,240,6,194,1,252,-35,,1,1
78145,2,787,7,194,8,230,1,230,4,181,5,220,-35,,1,1
71261,2,678,7,258,1,258,2,462,6,208,1,224,-35,,1,1
31465,2,860,3,243,1,239,4,254,6,217,5,252,-35,,1,1
59737,0,1532,5,276,9,344,7,222,3,230,7,234,-35,,1,1
52392,2,779,5,303,2,312,3,367,9,267,2,211,-35,,1,1
58638,0,1130,5,676,8,1091,6,477,3,467,8,356,-35,,1,1
52697,0,1083,5,277,2,267,6,244,9,252,7,293,-35,,1,1
81958,2,1387,8,234,1,250,9,298,5,227,8,283,-35,,1,1
59458,2,782,5,231,9,316,4,313,5,431,8,328,-35,,1,1
25237,2,886,2,221,5,277,2,221,3,234,7,243,-35,,1,1
25258,2,739,2,217,5,249,2,225,5,208,8,338,-35,,1,1
12592,0,756,1,217,2,272,5,235,9,399,2,297,-35,,1,1
46381,2,1283,4,218,6,249,3,425,8,285,1,252,-35,,1,1
86319,2,1169,8,267,6,248,3,617,1,254,9,306,-35,,1,1
86978,2,961,8,244,6,253,9,289,7,181,8,260,-35,,1,1
71943,2,945,7,258,1,272,9,994,4,245,3,365,-35,,1,1
74525,2,1010,7,272,4,217,5,217,2,211,5,266,-35,,1,1
92658,2,868,9,267,2,267,6,266,5,231,8,297,-35,,1,1
42697,2,785,4,222,2,253,6,258,9,239,7,252,-35,,1,1
59737,0,792,5,281,9,235,7,231,3,202,7,248,-35,,1,1
97843,2,878,9,272,7,267,8,626,3,293,-35,0,-48,,1,1
65697,2,854,6,221,5,226,6,235,9,226,7,265,-35,,1,1
14523,2,1419,1,317,4,240,5,240,2,221,3,233,-35,,1,1
63974,2,1302,6,249,3,253,9,243,7,249,4,229,-35,,1,1
84397,2,971,8,276,4,236,3,371,9,253,7,352,-35,,1,1
38186,0,996,3,229,8,235,1,218,8,234,4,525,-35,,1,1
42745,0,1092,4,290,2,290,7,252,4,203,5,298,-35,,1,1
26927,2,876,2,216,6,240,9,258,2,266,7,275,-35,,1,1
19745,2,1008,1,304,9,239,7,276,4,199,5,275,-35,,1,1
71461,0,748,7,257,1,240,4,272,6,248,1,234,-35,,1,1
26126,2,696,2,226,6,221,1,267,2,330,6,261,-35,,1,1
84565,2,2003,8,367,4,568,5,203,6,166,5,215,-35,,1,1
97378,2,920,9,212,7,231,3,229,7,227,8,269,-35,,1,1
58146,2,718,5,194,8,225,1,249,7,26,4,221,6,,1,1
59786,2,853,5,248,9,231,7,353,8,408,6,238,-35,,1,1
58637,2,718,5,230,8,340,6,290,3,248,7,388,-35,,1,1
69439,0,918,6,212,9,225,4,191,3,243,9,292,-35,,1,1
37394,2,775,3,230,7,217,3,235,9,262,4,252,-35,,1,1
58638,0,833,5,235,8,272,6,244,3,229,8,270,-35,,1,1
